"","employee","salaries_2017","salaries_2018","change","got_raise"
"46","Employee 46",43577.6880849153,48197.764911456,4620.07682654075,TRUE
"47","Employee 47",42453.3395213075,43773.4298349824,1320.09031367488,TRUE
"48","Employee 48",43251.1236122809,45341.3156070746,2090.19199479371,TRUE
"49","Employee 49",49598.1080154888,48089.435180882,-1508.67283460684,FALSE
"50","Employee 50",42543.6036661267,52722.765924409,10179.1622582823,TRUE
"51","Employee 51",40362.2767189518,48676.1110869702,8313.83436801843,TRUE
"52","Employee 52",43133.5946940817,50992.6917531993,7859.09705911763,TRUE
"53","Employee 53",45064.9641733617,56495.3213650733,11430.3571917117,TRUE
"54","Employee 54",48847.708448302,41708.9485854376,-7138.75986286439,FALSE
"55","Employee 55",44537.5306205824,40848.3876741957,-3689.14294638671,FALSE
"56","Employee 56",48833.9580083266,44932.7378091402,-3901.22019918635,FALSE
"57","Employee 57",44868.8700515777,40178.1358581502,-4690.73419342749,FALSE
"58","Employee 58",43805.1651581191,44552.8256241232,747.660466004163,TRUE
"59","Employee 59",41796.5255957097,55743.8817422371,13947.3561465275,TRUE
"60","Employee 60",42440.7055927441,48158.0962543376,5717.39066159353,TRUE
"61","Employee 61",42732.2116470896,39030.796905281,-3701.41474180855,FALSE
"62","Employee 62",40827.8995612636,44553.6004542373,3725.70089297369,TRUE
"63","Employee 63",48001.934105996,36130.2225710824,-11871.7115349136,FALSE
"64","Employee 64",48278.8183260709,40358.230372658,-7920.58795341291,FALSE
"65","Employee 65",41557.2320949286,48403.8364340086,6846.60433907993,TRUE
"66","Employee 66",45092.5194332376,44417.1338283923,-675.38560484536,FALSE
"67","Employee 67",40659.5123698935,43338.4419640061,2678.92959411256,TRUE
"68","Employee 68",44153.6608943716,55034.2154456303,10880.5545512587,TRUE
"69","Employee 69",48435.642675031,41063.1177702453,-7372.52490478568,FALSE
"70","Employee 70",45951.4036891051,43806.4211339224,-2144.98255518265,FALSE
"71","Employee 71",45876.3339999132,45159.6967992373,-716.637200675905,FALSE
"72","Employee 72",47989.7762578912,47217.900599353,-771.875658538193,FALSE
"73","Employee 73",43875.4866551608,57690.2138034347,13814.727148274,TRUE
"74","Employee 74",46666.2952047773,42348.6765404232,-4317.61866435409,FALSE
"75","Employee 75",47864.0620154329,44357.51130688,-3506.55070855282,FALSE
"76","Employee 76",41991.9739803299,51301.9180705305,9309.94409020059,TRUE
"77","Employee 77",42398.5609016381,35951.4109615702,-6447.1499400679,FALSE
"78","Employee 78",46038.6136826128,42410.4736209847,-3628.14006162807,FALSE
"79","Employee 79",48111.9987228885,59375.8531811181,11263.8544582296,TRUE
"80","Employee 80",47078.9664331824,48772.4478670862,1693.4814339038,TRUE
"81","Employee 81",45770.3448506072,48507.3382686824,2736.99341807514,TRUE
"82","Employee 82",41765.8103466965,55157.0505893324,13391.2402426358,TRUE
"83","Employee 83",45508.5704429075,53172.3473244347,7663.77688152716,TRUE
"84","Employee 84",48068.4398463927,47617.3040806316,-451.135765761137,FALSE
"85","Employee 85",40745.5724594183,55626.5797605738,14881.0073011555,TRUE
"86","Employee 86",44527.1866908297,54100.7595637348,9573.57287290506,TRUE
"87","Employee 87",48233.3735725842,41617.637805175,-6615.73576740921,FALSE
"88","Employee 88",42360.6550251134,57835.2678648662,15474.6128397528,TRUE
"89","Employee 89",47356.7726835608,39684.0693068225,-7672.70337673835,FALSE
"90","Employee 90",42866.9844311662,43906.1668037903,1039.18237262405,TRUE
"91","Employee 91",48158.0328452401,52470.8070058841,4312.77416064404,TRUE
"92","Employee 92",43584.139070008,50545.7765446045,6961.6374745965,TRUE
"93","Employee 93",47912.0667045936,46544.2614397034,-1367.80526489019,FALSE
"94","Employee 94",47338.7758177705,47765.7179650851,426.942147314548,TRUE
"95","Employee 95",49653.2387682237,41323.1049792375,-8330.13378898613,FALSE
"96","Employee 96",49613.2394834422,39072.5449216552,-10540.6945617869,FALSE
"97","Employee 97",40311.2002788112,43163.1588109303,2851.95853211917,TRUE
"98","Employee 98",42281.5076960251,41530.5867476854,-750.920948339626,FALSE
"99","Employee 99",40178.1770191155,46441.4451050106,6263.26808589511,TRUE
"100","Employee 100",47551.2167345732,49321.9059158582,1770.68918128498,TRUE
